Código-Indicador;Titulo-Indicador;Código-Escala;Código-Resultado
000101;Realización de la rutina habitual.;4;0001
000102;Actividad.;4;0001
000104;Concentración.;4;0001
000106;Resistencia muscular.;4;0001
000107;Patrón alimentario.;4;0001
000108;Libido.;4;0001
000109;Recuperación de la energía con el descanso.;4;0001
000110;Agotamiento.;3;0001
000111;Letargo.;3;0001
000112;Concentración sanguínea de oxígeno.;4;0001
000113;Hemoglobina.;4;0001
000114;Hematocrito.;4;0001
000115;Glucemia.;4;0001
000116;Electrólitos séricos.;4;0001
000118;Fatiga.;3;0001
000201;Equilibrio entre actividad y descanso.;9;0002
000202;Siestas en el rango esperado.;9;0002
000203;Reconoce limitaciones de energía.;9;0002
000204;Utiliza técnicas de conservación de energía.;9;0002
000205;Adapta el estilo de vida al nivel de energía.;9;0002
000206;Mantiene una nutrición adecuada.;9;0002
000207;Nivel de resistencia adecuado para la actividad.;9;0002
000209;Organiza actividades para conservar energía.;9;0002
000301;Tiempo del descanso.;4;0003
000302;Patrón del descanso.;4;0003
000303;Calidad del descanso.;4;0003
000304;Descansado físicamente.;4;0003
000305;Descansado mentalmente.;4;0003
000308;Descansado emocionalmente.;4;0003
000309;Energía recuperada después del descanso.;4;0003
000310;Aspecto de estar descansado.;4;0003
000401;Horas de sueño.;4;0004
000402;Horas de sueño cumplidas.;4;0004
000403;Patrón del sueño.;4;0004
000404;Calidad del sueño.;4;0004
000405;Eficiencia de sueño.;4;0004
000406;Sueño interrumpido.;3;0004
000407;Hábito de sueño.;4;0004
000408;Sensaciones de rejuvenecimiento después del sueño.;4;0004
000409;Siesta inapropiada.;3;0004
000410;Despertar a horas apropiadas.;4;0004
000411;Hallazgos del electroencefalograma.;4;0004
000412;Hallazgos del electromiograma.;4;0004
000413;Hallazgos del electrooculograma.;4;0004
000416;Apnea del sueño.;3;0004
000417;Dependencia de las ayudas para dormir.;3;0004
000418;Duerme toda la noche.;4;0004
000419;Cama confortable.;4;0004
000420;Temperatura de la habitación confortable.;4;0004
000421;Dificultad para conciliar el sueño.;3;0004
000422;Pesadillas.;3;0004
000423;Nicturia.;3;0004
000424;Ronquidos.;3;0004
000425;Dolor.;3;0004
000501;Saturación de oxígeno en respuesta a la actividad.;4;0005
000502;Frecuencia cardíaca en respuesta a la actividad.;4;0005
000503;Frecuencia respiratoria en respuesta a la actividad.;4;0005
000504;Presión arterial sistólica en respuesta a la actividad.;4;0005
000505;Presión arterial diastólica en respuesta a la actividad.;4;0005
000506;Hallazgos del electrocardiograma.;4;0005
000507;Color de la piel.;4;0005
000508;Esfuerzo respiratorio en respuesta a la actividad.;4;0005
000509;Paso al caminar.;4;0005
000510;Distancia de caminata.;4;0005
000511;Tolerancia a subir escaleras.;4;0005
000514;Habilidad para hablar durante el ejercicio.;4;0005
000516;Resistencia de la parte superior del cuerpo.;4;0005
000517;Resistencia de la parte inferior del cuerpo.;4;0005
