Código-Actividades;Titulo-Actividades;Código-NIC
665823;Abogar por el bienestar del paciente, si es necesario.;6658
714027;Abogar por la familia, si procede.;7140
314004;Abordar la vía aérea oral o nasofaríngea, si procede.;3140
312002;Abordar la vía aérea oro/nasofaringea, asegurándose de que alcanza la base de la lengua, colocando la lengua en posición hacia delante.;3120
500003;Abordar los sentimientos personales evocados por el paciente que pueden interferir en la efectividad de las interacciones terapéuticas.;5000
316007;Abordar una vía aérea nasal para facilitar la aspiración nasotraqueal, si procede.;3160
827416;Abrazar o mecer y consolar al niño, especialmente cuando esté angustiado.;8274
527004;Abrazar o tocar al paciente para proporcionarle apoyo.;5270
335023;Abrir el área, elevando la barbilla o empujando la mandíbula, si se precisa.;3350
314001;Abrir la vía aérea, mediante la técnica de elevación de barbilla o empuje de mandíbula, si procede.;3140
180307;Abrir los alimentos empaquetados.;1803
654513;Abrir los suministros y los instrumentos estériles utilizando técnicas asépticas.;6545
358416;Abstenerse de administrar aplicaciones de calor local;3584
405004;Abstenerse de administrar estimulantes orales.;4050
403017;Abstenerse de administrar medicamentos o líquidos por vía i.v. que no sea la solución salina isotónica, en las vías de administración de sangre o del producto sanguíneo.;4030
084403;Abstenerse de aplicar presión a la parte corporal afectada.;0844
350006;Abstenerse de aplicar presión a la parte corporal afectada.;3500
407004;Abstenerse de aplicar presión o realizar torniquetes en la extremidad afectada.;4070
497608;Abstenerse de bajar la voz al final de una frase.;4976
540010;Abstenerse de burlarse.;5400
435005;Abstenerse de discutir o regatear los límites establecidos con el paciente.;4350
448010;Abstenerse de discutir o regatear sobre los límites establecidos con el paciente.;4480
746008;Abstenerse de forzar el tratamiento.;7460
497607;Abstenerse de gritar al paciente con trastornos de comunicación.;4976
497408;Abstenerse de gritar con problemas de comunicación.;4974
064015;Abstenerse de hacer observaciones acerca de la incontinencia o de la negación al aseo.;0640
421016;Abstenerse de inflar el balón con mayor frecuencia que cada 1-2 horas, si procede.;4210
405005;Abstenerse de insertar tubos rectales.;4050
540009;Abstenerse de realizar críticas negativas y de quejarse.;5400
403018;Abstenerse de realizar transfusión de productos extraídos de refrigeración controlada durante más de 4 horas.;4030
405007;Abstenerse de realizar un examen rectal/vaginal.;4050
407003;Abstenerse de sacar sangre en la extremidad afectada.;4070
404424;Abstenerse de tomar la temperatura rectal.;4044
405006;Abstenerse de tomar la temperatura rectal.;4050
358417;Abstenerse de utilizar jabones alcalinos en la piel;3584
435208;Acabar los comportamientos deseados y los esfuerzos de autocontrol.;4352
588011;Acariciar la frente, si procede.;5880
690007;Acariciar suavemente la mejilla del bebé para estimular el reflejo de succión.;6900
586023;Accionar el dispositivo de biorretroalimentación según las instrucciones.;5860
905025;Acentuar la importancia de utilizar el casco y ropa brillante o reflectora al circular en bicicleta, motocicleta y otros vehículos motorizados (vehículos todo terreno, motos de nieve).;9050
342028;Aceptar la necesidad inicial de ocultación de los cambios.;3420
497803;Aceptar la reacción del paciente a la disminución de la visión .;4978
